Observación;MUESTRA;PROYECTO;TIPO PELIGRO;PELIGRO ESPECIFICO;LONGITUD;LATITUD
1008;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Caída de Roca;-78.54946217;-7.345147461
1009;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Reptacion;Reptación de Suelo;-78.80177893;-7.076836877
1010;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.82068052;-7.111755144
1011;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.86811348;-7.043996479
1012;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.87002914;-7.026711984
1013;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.78779275;-6.999782311
1014;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Reptacion;Reptación de Suelo;-78.64529667;-6.910964946
1015;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-78.83836442;-7.21335299
1016;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.76661179;-6.925560241
1017;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-78.52868901;-7.305322108
1018;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.658467;-7.397031986
1019;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.61587404;-7.387316018
1020;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.54159941;-7.278279451
1021;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.6014233;-7.245159303
1022;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.71455673;-7.174334998
1023;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.68482224;-7.148425721
1024;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Deslizamiento;Deslizamiento Rotacional;-78.64819205;-7.091297751
1025;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-78.66812027;-7.086878946
